AppId,Title,Target_Users
com.pocketprep.android.medical,Pocket Prep Medical 2025,2 Healthcare Professionals / Medical Students
homeworkout.fitness.app,Workout Planner Gym Log팂it AI,1 Patients / Health-conscious Individuals
com.idea.PhoneDoctorPlus2,Phone Doctor Plus,3 Other / Unclear Audience
org.plumvillageapp,Plum Village: Mindfulness App,1 Patients / Health-conscious Individuals
periodtracker.pregnancy.ovulationtracker,Ovulation & Period Tracker,1 Patients / Health-conscious Individuals
com.nexa.wahealth.managemycare,Manage My Care,1 Patients / Health-conscious Individuals
de.lecturio.android.LecturioMed,Lecturio Medical Education,2 Healthcare Professionals / Medical Students
com.phonegap.whichderm,Model Dermatol  Skin Disease,1 Patients / Health-conscious Individuals
fr.doctolib.www,Doctolib - Your health partner,1 Patients / Health-conscious Individuals
com.water.reminder.tracker,My Water Reminder: Drink Water,1 Patients / Health-conscious Individuals
com.spruce.messenger,Spruce: Medical Communication,2 Healthcare Professionals / Medical Students
com.usmleworld,UWorld Medical Prep App,2 Healthcare Professionals / Medical Students
in.plackal.lovecyclesfree,Maya - Period & Health,1 Patients / Health-conscious Individuals
com.maapps.habittracker,Habit360 Habit Tracker & To-do,1 Patients / Health-conscious Individuals
com.medm.app.health,Health Diary by MedM,1 Patients / Health-conscious Individuals
com.pl.cl.hospital.dash,Hospital Dash: Hospital Games,3 Other / Unclear Audience
fitness.online.app,Fitness App: Gym Workout Plan,1 Patients / Health-conscious Individuals
com.aranoah.healthkart.plus,TATA 1mg Online Healthcare App,1 Patients / Health-conscious Individuals
com.voidpet,Voidpet Garden: Mental Health,1 Patients / Health-conscious Individuals
org.selecthealth.myhealth,Select Health,3 Other / Unclear Audience
com.minerva_medical.minerva,Full Code Medical Simulation,2 Healthcare Professionals / Medical Students
me.sleep.app,sleepme: Path To Better Sleep,1 Patients / Health-conscious Individuals
com.doctorondemand.android.patient,Doctor On Demand,1 Patients / Health-conscious Individuals
com.myhealthplanner.mobile,My Health Planner,1 Patients / Health-conscious Individuals
com.mobisystems.msdict.embedded.wireless.elsevier.dorlandsillustrated,Dorland's Medical Dictionary,2 Healthcare Professionals / Medical Students
com.sleepwave.app,Sleepwave: Alarm & Tracker,1 Patients / Health-conscious Individuals
com.wachanga.womancalendar,Clover竊뛒eriod & Cycle Tracker,1 Patients / Health-conscious Individuals
com.aadhk.lite.bptracker,Blood Pressure Tracker,1 Patients / Health-conscious Individuals
com.careclinicsoftware.careclinic,"Symptom, Mood & Period Tracker",1 Patients / Health-conscious Individuals
app.avocation.avocation,Avocation Goal & Habit Tracker,3 Other / Unclear Audience
com.unbound.android.cqddl,Davis's Drug Guide,2 Healthcare Professionals / Medical Students
eu.smartpatient.mytherapy,Meds & Pill Reminder MyTherapy,1 Patients / Health-conscious Individuals
com.gaiamobile.airdoctor,Air Doctor,1 Patients / Health-conscious Individuals
com.ticktick.task,TickTick:To Do List & Calendar,3 Other / Unclear Audience
net.klier.blutdruck,BloodPressure DB  BP Tracker,1 Patients / Health-conscious Individuals
za.co.sovtech.healthsimplified,Health-e Simplified,1 Patients / Health-conscious Individuals
mu.mt.selfcare,my.t care,3 Other / Unclear Audience
com.waveapp.android,Wave Health: Symptom Tracker,1 Patients / Health-conscious Individuals
com.eme.o7,O7 Therapy,1 Patients / Health-conscious Individuals
pedcall.VacReminder,Vaccine Reminder,1 Patients / Health-conscious Individuals
com.planetfitness,Planet Fitness,1 Patients / Health-conscious Individuals
gov.cdc.ncbddd.actearly.milestones,CDC Milestone Tracker,1 Patients / Health-conscious Individuals
com.dailymistika.healingsounds,Healing Sounds & Sound Therapy,1 Patients / Health-conscious Individuals
