AppId,Title,Target_Users
com.alphazstudio.learnpharmacology,Learn Pharmacology (Offline),2 Healthcare Professionals / Medical Students
com.groovehealthrx.groovehealth,EveryDose: Medication Reminder,1 Patients / Health-conscious Individuals
com.something.android.simplepharmacology,Simple Pharmacology,2 Healthcare Professionals / Medical Students
com.ma.ld.dict.ingredients,Ingredients & Nutrition Guide,1 Patients / Health-conscious Individuals
com.boardvitals,BoardVitals Medical Exam Prep,2 Healthcare Professionals / Medical Students
com.telus.health.wellbeing,TELUS Health Wellbeing,1 Patients / Health-conscious Individuals
com.starnursery.hospital,Clinic Mania: Hospital Sim,3 Other / Unclear Audience
np.com.midas.merodoctor,Mero Doctor,1 Patients / Health-conscious Individuals
com.pocketprep.android.behavioralhealth,Pocket Prep Behavioral Health,2 Healthcare Professionals / Medical Students
com.unbound.android.ubng,Nutrition Guide for Clinicians,2 Healthcare Professionals / Medical Students
app.voicestories.android,Voice: Mental Health Guide,1 Patients / Health-conscious Individuals
nl.appyhapps.healthsync,Health Sync,1 Patients / Health-conscious Individuals
com.dragonplus.happyhospital,Happy Hospital짰: ASMR Blast,3 Other / Unclear Audience
uk.co.mysurgeryapp.app,Surgery App,1 Patients / Health-conscious Individuals
com.webmd.android,WebMD: Symptom Checker,1 Patients / Health-conscious Individuals
com.rrsolutions.fevercheckup,Body Temperature팂ever Tracker,1 Patients / Health-conscious Individuals
com.free.hospital.story,Hospital Story:Clinic Game,3 Other / Unclear Audience
com.marylandhealthconnection.mobile,Maryland Health Connection,1 Patients / Health-conscious Individuals
com.FriendsApp.pillidentifieranddrugsearch,Pill Identifier & Drug Search,1 Patients / Health-conscious Individuals
com.babycenter.pregnancytracker,Pregnancy App & Baby Tracker,1 Patients / Health-conscious Individuals
com.vos.app,"VOS: Mental Health, AI Therapy",1 Patients / Health-conscious Individuals
com.clearcare.clearcareconnect,WellSky Personal Care,2 Healthcare Professionals / Medical Students
com.tanosapps.meditanos,Self Therapy: Mental Tests,1 Patients / Health-conscious Individuals
com.appex.myhealth,MyHealth-Digital Health Locker,1 Patients / Health-conscious Individuals
com.eightsleep.eight,Eight Sleep,1 Patients / Health-conscious Individuals
ai.kanghealth,K Health | 24/7 Virtual Care,1 Patients / Health-conscious Individuals
com.constanttherapy.android.main,Constant Therapy: Brain+Speech,1 Patients / Health-conscious Individuals
com.uworld.nclex,UWorld Nursing,2 Healthcare Professionals / Medical Students
io.blueheart.blueheart,Blueheart: Relationship Health,3 Other / Unclear Audience
com.pushhealth.production,Push Health: Telehealth App,1 Patients / Health-conscious Individuals
com.teladoc.members,Teladoc Health,1 Patients / Health-conscious Individuals
org.isoron.uhabits,Loop Habit Tracker,1 Patients / Health-conscious Individuals
com.droidinfinity.healthplus,Health & Fitness Tracker,1 Patients / Health-conscious Individuals
com.water.tracker.remind,My Water Tracker & Reminder,1 Patients / Health-conscious Individuals
com.otsimo.speech,Otsimo | Speech Therapy SLP,1 Patients / Health-conscious Individuals
com.motivated.app,Motivated: Habit Tracker,3 Other / Unclear Audience
com.epocrates,epocrates: Drug Checker App,2 Healthcare Professionals / Medical Students
com.gallant.clinicalskills.learning.treatment,Clinical Skills & Examinations,2 Healthcare Professionals / Medical Students
ic.mobile.patientportal,Patient Portal,1 Patients / Health-conscious Individuals
com.grandroundshealth.m,Included Health,2 Healthcare Professionals / Medical Students
com.touchsurgery,Touch Surgery: Surgical Videos,2 Healthcare Professionals / Medical Students
mobilecreatures.pillstime,Pills Time Med Reminder,1 Patients / Health-conscious Individuals
com.medicaljoyworks.clinicalsense,Clinical Sense,2 Healthcare Professionals / Medical Students
com.jivi.ai,Jivi: AI Health and Diet Coach,1 Patients / Health-conscious Individuals
com.nutrition.facts,Nutrition facts,1 Patients / Health-conscious Individuals
de.moodpath.android,MindDoc: Mental Health Support,1 Patients / Health-conscious Individuals
com.oristats.habitbull,Habit Tracker,1 Patients / Health-conscious Individuals
com.gluroo.app,Gluroo: Diabetes Log Tracker,1 Patients / Health-conscious Individuals
ru.DmitryLomakin.ReanimationInc,Doctor 911 Hospital Simulator,3 Other / Unclear Audience
com.bbi.accorg.cardiosource.american_college_of_cardiology,ACC Guideline Clinical App,2 Healthcare Professionals / Medical Students
com.miiskin.android,Miiskin Skin & Dermatology,1 Patients / Health-conscious Individuals
com.getsomeheadspace.android,Headspace: Meditation & Health,1 Patients / Health-conscious Individuals
com.eddiihealth.eddii,eddii - complete endo care,1 Patients / Health-conscious Individuals
com.pathwaymedical.pathway,Pathway  Medical Knowledge,2 Healthcare Professionals / Medical Students
com.mysugr.android.companion,mySugr - Diabetes Tracker Log,1 Patients / Health-conscious Individuals
melstudio.msugar,Glucose tracker竊뛆iabetic diary,1 Patients / Health-conscious Individuals
in.medibuddy,MediBuddy-Doctor Medicine ABHA,1 Patients / Health-conscious Individuals
com.usbmis.reader.dadg,Davis's Drug Guide for Nurses,2 Healthcare Professionals / Medical Students
com.gamehouse.hm2gp,Heart's Medicine: Time to Heal,3 Other / Unclear Audience
com.zip.blood.pressure,Blood Pressure Tracker,1 Patients / Health-conscious Individuals
health.sleep.sounds.tracker.alarm.calm,ShutEye짰: Sleep Tracker,1 Patients / Health-conscious Individuals
com.anthem.sydney,Sydney Health,1 Patients / Health-conscious Individuals
com.medapps.rer.shortcasesinmedicine,Medicine OSCE Guide,2 Healthcare Professionals / Medical Students
com.meetyou.intl,MeetYou - Period Tracker,1 Patients / Health-conscious Individuals
