AppId,Title,group,Nb_Reviews,Latest_Review_Date,Nb_Installs,Free,eligible
org.capacitor.nursingquizzes.app,Basic Nursing Quiz,,1,2025-03-28,"10,000+",True,False
com.hssn.anatomy,Visual Anatomy,,100,2025-08-01,"10,000+",False,False
com.medm.app.health,Health Diary by MedM,HSC,100,2025-09-03,"100,000+",True,True
com.medisafe.android.client,Medisafe Pill & Med Reminder,HSC,100,2025-09-03,"5,000,000+",True,True
com.aleosapps.QuizzAppMedical,Medical CPT CPC CCMA Exam Prep,,7,2025-08-25,"1,000+",True,False
com.medicalgroupsoft.medical.directorymedtermsmultilang.free,Medical Terminology Dictionary,HSP,100,2025-08-31,"1,000,000+",True,True
ai.thedeep.droracleandroid,Dr.Oracle AI Medical Assistant,HSP,58,2025-08-15,"10,000+",True,True
com.gluroo.app,Gluroo: Diabetes Log Tracker,HSC,100,2025-09-04,"50,000+",True,True
com.patrikat.pediatricdiseaseandtreatment,Pediatric Disease & Treatment,,100,2024-12-20,"100,000+",True,False
com.pocketprep.android.nursingschool,Pocket Prep Nursing School,,85,2024-12-13,"50,000+",True,False
com.meruhealth.app,Meru Health,HSC,100,2025-07-31,"10,000+",True,True
com.imaginepediatrics.appimaginepediatrics,Imagine Pediatrics,,8,2025-05-04,"5,000+",True,False
com.free.hospital.story,Hospital Story:Clinic Game,other,100,2025-08-27,"500,000+",True,True
com.starnursery.hospital,Clinic Mania: Hospital Sim,other,100,2025-08-30,"1,000,000+",True,True
com.practo.fabric,Practo: Doctor Appointment App,HSC,100,2025-09-03,"10,000,000+",True,True
samucreates.sbarsmartbrainapp,NurseBrain: Smart Report Sheet,,29,2025-07-08,"10,000+",True,False
com.touchsurgery,Touch Surgery: Surgical Videos,HSP,100,2025-09-03,"1,000,000+",True,True
com.barbellmedicine.android_app,Barbell Medicine,,8,2025-05-17,"1,000+",True,False
com.unbound.android.ubqmdt,QMDT: Quick Medical Diagnosis,,11,2025-08-31,"5,000+",True,False
com.zip.blood.pressure,Blood Pressure Tracker,HSC,100,2025-09-04,"5,000,000+",True,True
com.mhealth.manadr,MaNaDr for Patient,HSC,100,2025-08-31,"500,000+",True,True
com.keeptrackmed.app,Health Record - KeepTrackMed,,9,2025-03-28,500+,True,False
org.psychiatry.dsm,DSM-5-TR® Diagnostic Criteria,,5,2025-03-10,"1,000+",False,False
com.ovuline.fertility,Ovia Cycle & Pregnancy Tracker,HSC,100,2025-09-01,"1,000,000+",True,True
com.affecttherapeutics,Affect: Addiction Recovery,HSC,100,2025-08-29,"100,000+",True,True
com.aidareminder.pillreminder,Pill Reminder and Med Tracker,HSC,100,2025-09-04,"100,000+",True,True
com.constanttherapy.android.main,Constant Therapy: Brain+Speech,HSC,100,2025-08-27,"100,000+",True,True
in.evolve.android,Evolve: Self-Care & Meditation,HSC,100,2025-08-31,"1,000,000+",True,True
de.streuer.alexander.anatomyquiz,Anatomy Quiz,HSP,100,2025-09-03,"500,000+",True,True
com.medpresso.Lonestar.emergmed,Tintinalli's Emergency Med Man,,31,2024-12-15,"50,000+",True,False
ipnossoft.rma.free,BetterSleep: Sleep tracker,HSC,100,2025-09-04,"10,000,000+",True,True
com.selectcomfort.SleepIQ,Sleep Number,HSC,100,2025-09-04,"1,000,000+",True,True
com.hippo_kids_games.doctor_scientist.hospital_laboratory,Doctor: Hospital Laboratory,other,77,2025-07-06,"500,000+",True,True
com.hospital.games.happy.doctor,Happy Doctor: Clinic Game,other,100,2025-08-31,"1,000,000+",True,True
com.digigene.mobilebodyquiz.mobile_body_quiz,Anatomy Quiz: Trivia Body Game,,21,2025-06-09,"10,000+",True,False
com.maapps.habittracker,Habit360 Habit Tracker & To-do,HSC,100,2025-08-17,"100,000+",True,True
com.period.tracker.lite,Period Tracker,HSC,100,2025-09-03,"10,000,000+",True,True
in.mednotes.MedNotes,MedNotes -For Medical Students,HSP,100,2025-09-03,"500,000+",True,True
day.daywell.app,Daywell - Self Care Routine,,100,2025-05-22,"50,000+",True,False
com.mobisystems.msdict.embedded.wireless.elsevier.dorlandsillustrated,Dorland's Medical Dictionary,HSP,100,2025-09-02,"100,000+",True,True
net.futasaji.medicine,Cute Pill: Medication Reminder,HSC,100,2025-09-02,"100,000+",True,True
com.jeet.healthydiet,Nutrition Tracker & Food Diary,HSC,100,2025-08-22,"500,000+",True,True
com.notiis.plop,plop - poop tracker & analyzer,,44,2025-08-29,"10,000+",True,False
org.kiwix.kiwixcustomwikimedmini,Mini Medical Wikipedia Offline,HSP,100,2025-08-18,"100,000+",True,True
in.medibuddy,MediBuddy-Doctor Medicine ABHA,HSC,100,2025-09-04,"5,000,000+",True,True
com.calm.android,"Calm - Sleep, Meditate, Relax",,100,2025-09-04,"50,000,000+",True,False
diary.questions.mood.tracker,Mood Tracker Daily Journal CBT,HSC,100,2025-08-23,"1,000,000+",True,True
com.TarterStudio.RXTrivia,RX Trivia - Radiology Quiz,,29,2025-08-30,"50,000+",True,False
com.gen.bettermeditation,BetterMe: Mental Health,HSC,100,2025-08-28,"5,000,000+",True,True
com.getsomeheadspace.android,Headspace: Meditation & Health,HSC,100,2025-09-03,"10,000,000+",True,True
com.gymstreak.GymStreakAI,Workout Tracker : GymStreak AI,other,100,2025-08-15,"100,000+",True,True
com.medpresso.Lonestar.fmemerg,5 Minute Emergency Medicine,,41,2025-08-17,"50,000+",True,False
com.hltcorp.hesi,Nursing Entrance Exam Mastery,,100,2024-04-19,"50,000+",True,False
com.patrikat.respiratorydiseaseandtreatment,Respiratory Disease &Treatment,,47,2024-04-13,"100,000+",True,False
com.siv,Care to Translate,HSP,100,2025-07-08,"500,000+",True,True
com.sgs.emhq.android,EMERGENCY HQ: firefighter game,other,100,2025-09-04,"10,000,000+",True,True
com.teladoc.members,Teladoc Health,HSC,100,2025-09-04,"5,000,000+",True,True
com.nutrition.facts,Nutrition facts,HSC,100,2025-08-01,"100,000+",True,True
com.mdsol.aquila,Patient Cloud,HSP,100,2025-08-19,"100,000+",True,True
